index,x_m,y_m,z_m
0,0.000000,0.000000,50.000000
1,23.303589,24.469514,57.015372
2,47.358909,48.234487,65.569993
3,70.924773,70.372893,74.410025
4,93.962654,92.314035,83.016849
5,118.219039,115.958291,89.213528
6,141.120802,140.418220,93.794280
7,164.098758,164.997055,99.950806
8,187.244260,190.216788,106.353548
9,205.690283,219.448129,111.565387
10,231.405529,243.024095,113.754062
11,257.045389,266.236343,114.741411
12,282.631285,290.022336,115.073134
13,308.933852,312.795563,114.803240
14,332.492854,337.670767,116.069909
15,351.413467,364.034020,116.294385
16,376.389253,387.118297,115.782638
17,405.534283,402.670486,111.741234
18,435.777566,410.428155,101.559391
19,467.376888,415.211740,90.848100
20,500.000000,420.000000,80.000000
